Generation,Bloc,Macro,Image,Total_surface,B,H,P,P_black,obs_count
11,3,MacroG13,3PL4_7.tiff,1641328,1508968,32459,99901,0.755,NA
11,3,MacroG13,3PS5_9.tiff,1657500,1543423,46854,67223,0.589,NA
11,4,MacroG13,1PS6_7.tiff,1465110,1360183,54642,50285,0.479,NA
11,4,MacroG13,3PL6_5.tiff,1472976,1365660,24101,83215,0.775,NA
11,4,MacroG13,2PS6_5.tiff,1622825,1491170,38042,93613,0.711,NA
11,4,MacroG13,3PL5_0.tiff,1479695,1364406,36682,78607,0.682,NA
11,4,MacroG13,3PL6_12.tiff,1489920,1380727,25119,84074,0.77,NA
11,4,MacroG13,2PS5_0.tiff,1762668,1630265,81667,50736,0.383,NA
11,4,MacroG13,2PL5_11.tiff,1687084,1575716,52732,58636,0.527,NA
11,4,MacroG13,2PS5_10.tiff,1496782,1393821,67559,35402,0.344,NA
11,4,MacroG13,3PL6_9.tiff,1535872,1423046,78691,34135,0.303,NA
11,4,MacroG13,2PS6_9.tiff,1644370,1497004,42291,105075,0.713,NA
11,4,MacroG13,2PL5_6.tiff,1540458,1427369,59420,53669,0.475,NA
11,4,MacroG13,2PL5_7.tiff,1572282,1456316,25407,90559,0.781,NA
11,4,MacroG13,2PS6_8.tiff,1783452,1671409,32996,79047,0.706,NA
11,4,MacroG13,3PL6_8.tiff,1634168,1517934,30393,85841,0.739,NA
11,4,MacroG13,2PS5_1.tiff,1703104,1593127,30829,79148,0.72,NA
11,4,MacroG13,2PL5_10.tiff,1554777,1417473,50318,86986,0.634,NA
11,4,MacroG13,3PL6_13.tiff,1443648,1325676,34755,83217,0.705,NA
11,4,MacroG13,3PL5_1.tiff,1566292,1452912,45193,68187,0.601,NA
11,4,MacroG13,2PS6_4.tiff,1649100,1517059,37830,94211,0.713,NA
11,4,MacroG13,1PS6_6.tiff,1643040,1523212,87110,32718,0.273,NA
11,4,MacroG13,3PL6_4.tiff,1480336,1348713,118144,13479,0.102,NA
11,4,MacroG13,2PL5_0.tiff,1551286,1416256,111600,23430,0.174,NA
11,4,MacroG13,3PL6_3.tiff,1590648,1453177,92158,45313,0.33,NA
11,4,MacroG13,1PS6_1.tiff,1791643,1658591,47839,85213,0.64,NA
11,4,MacroG13,2PS6_3.tiff,1586310,1479110,31644,75556,0.705,NA
11,4,MacroG13,3PL5_6.tiff,1543936,1411388,89670,42878,0.323,NA
11,4,MacroG13,3PL6_14.tiff,1548816,1428140,60662,60014,0.497,NA
11,4,MacroG13,2PS5_6.tiff,1690590,1581764,37299,71527,0.657,NA
11,4,MacroG13,2PS6_10.tiff,1776410,1656544,38591,81275,0.678,NA
11,4,MacroG13,2PS6_11.tiff,1719773,1605890,44509,69374,0.609,NA
11,4,MacroG13,2PS5_7.tiff,1658080,1514821,40447,102812,0.718,NA
11,4,MacroG13,3PL5_7.tiff,1585890,1474069,42977,68844,0.616,NA
11,4,MacroG13,2PS6_2.tiff,1574832,1463247,40920,70665,0.633,NA
11,4,MacroG13,3PL6_2.tiff,1526610,1383208,36402,107000,0.746,NA
11,4,MacroG13,1PS6_0.tiff,1875328,1730201,48301,96826,0.667,NA
11,4,MacroG13,2PL5_1.tiff,1571482,1449446,44633,77403,0.634,NA
11,4,MacroG13,2PL5_2.tiff,1654160,1501318,148267,4575,0.03,NA
11,4,MacroG13,2PS5_8.tiff,1638560,1500967,63648,73945,0.537,NA
